#Data fitted with model: Rod_Sphere on Sun Nov 12 10:58:21 2017
#[[Fit Statistics]]
#    # function evals   = 18
#    # data points      = 855
#    # variables        = 2
#    chi-square         = 3.608
#    reduced chi-square = 0.004
#    Akaike info crit   = -4671.179
#    Bayesian info crit = -4661.676
#[[Variables]]
#    R:      12 (fixed)
#    Rsig:   0.22120904 +/- 0.001440 (0.65%) (init= 0.1563)
#    qc:     0.001 (fixed)
#    norm:   2.9143e-07 +/- 1.50e-09 (0.52%) (init= 2.198e-07)
#    bkg:    0 (fixed)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(Rsig, norm)                = -0.926 
#x 	 y	 yerr 	 yfit
5.269999999999999685e-02 1.125199999999999950e-01 2.848900000000000043e-02 1.133658100307321365e-01
5.299999999999999850e-02 1.086700000000000027e-01 2.833099999999999855e-02 1.131676931127154478e-01
5.330000000000000016e-02 1.060900000000000037e-01 2.800899999999999918e-02 1.129688130628156151e-01
5.360000000000000181e-02 1.071000000000000008e-01 2.758999999999999994e-02 1.127691751695925060e-01
5.380000000000000060e-02 1.086799999999999988e-01 2.760500000000000106e-02 1.126356648356752893e-01
5.410000000000000225e-02 1.097100000000000020e-01 2.803999999999999895e-02 1.124347756663813813e-01
5.439999999999999697e-02 1.116499999999999992e-01 2.806200000000000014e-02 1.122331428347550508e-01
5.469999999999999862e-02 1.132699999999999957e-01 2.833199999999999955e-02 1.120307716870275749e-01
5.500000000000000028e-02 1.097199999999999981e-01 2.878500000000000156e-02 1.118276675843861701e-01
5.519999999999999907e-02 1.082300000000000068e-01 2.868400000000000116e-02 1.116918603062504317e-01
5.550000000000000072e-02 1.050600000000000006e-01 2.877199999999999896e-02 1.114875465654289327e-01
5.580000000000000238e-02 1.085200000000000053e-01 2.916300000000000142e-02 1.112825142368497611e-01
5.609999999999999709e-02 1.058800000000000019e-01 2.883199999999999999e-02 1.110767687337799875e-01
5.639999999999999875e-02 1.087499999999999994e-01 2.892499999999999932e-02 1.108703154829495524e-01
5.659999999999999754e-02 1.115199999999999941e-01 2.911400000000000099e-02 1.107322894750241843e-01
5.689999999999999919e-02 1.120600000000000068e-01 2.865099999999999938e-02 1.105246687395678301e-01
5.720000000000000084e-02 1.107899999999999996e-01 2.867600000000000010e-02 1.103163547910774728e-01
