#Data fitted with model: Sphere on Wed Nov 29 15:38:36 2017
#[[Fit Statistics]]
#    # function evals   = 50
#    # data points      = 855
#    # variables        = 3
#    chi-square         = 17.066
#    reduced chi-square = 0.020
#    Akaike info crit   = -3340.458
#    Bayesian info crit = -3326.205
#[[Variables]]
#    R:        13.6698507 +/- 0.265657 (1.94%) (init= 10)
#    Rsig:     2.43814474 +/- 0.163070 (6.69%) (init= 2)
#    rhoc:     1 (fixed)
#    rhosol:   0 (fixed)
#    norm:     1.1850e-07 +/- 6.38e-09 (5.38%) (init= 2e-07)
#    bkg:      0 (fixed)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(R, norm)                   = -0.994 
#    C(R, Rsig)                   = -0.989 
#    C(Rsig, norm)                =  0.968 
#x 	 y	 yerr 	 yfit
3.309999999999999748e-02 1.143600000000000033e-01 2.859899999999999942e-02 1.234828654211377469e-01
3.330000000000000321e-02 1.130700000000000038e-01 2.845900000000000166e-02 1.233974747253037685e-01
3.359999999999999792e-02 1.120799999999999991e-01 2.834499999999999867e-02 1.232685276759959703e-01
3.389999999999999958e-02 1.168799999999999978e-01 2.856600000000000111e-02 1.231385503012944194e-01
3.420000000000000123e-02 1.216200000000000059e-01 2.902000000000000066e-02 1.230075458647183484e-01
3.450000000000000289e-02 1.221499999999999947e-01 2.912500000000000158e-02 1.228755176537620758e-01
3.479999999999999760e-02 1.200900000000000023e-01 2.904899999999999843e-02 1.227424689797672747e-01
3.500000000000000333e-02 1.226099999999999968e-01 2.880699999999999927e-02 1.226532045858319125e-01
3.529999999999999805e-02 1.238699999999999940e-01 2.844800000000000106e-02 1.225184625630072743e-01
3.559999999999999970e-02 1.243100000000000038e-01 2.869899999999999882e-02 1.223827090229971937e-01
3.590000000000000135e-02 1.234299999999999981e-01 2.897699999999999929e-02 1.222459473634793237e-01
3.620000000000000301e-02 1.217300000000000049e-01 2.892600000000000032e-02 1.221081810053720879e-01
3.640000000000000180e-02 1.166900000000000021e-01 2.855399999999999952e-02 1.220157803005579022e-01
3.670000000000000345e-02 1.157399999999999957e-01 2.833700000000000108e-02 1.218763471095462708e-01
3.699999999999999817e-02 1.221600000000000047e-01 2.875399999999999831e-02 1.217359184550077522e-01
3.729999999999999982e-02 1.254800000000000082e-01 2.914299999999999877e-02 1.215944978419390282e-01
3.760000000000000148e-02 1.225300000000000000e-01 2.942099999999999924e-02 1.214520887979532726e-01
3.780000000000000027e-02 1.185800000000000048e-01 2.915299999999999836e-02 1.213566020592203171e-01
3.810000000000000192e-02 1.170100000000000029e-01 2.921699999999999992e-02 1.212125535305084711e-01
3.839999999999999664e-02 1.136000000000000065e-01 2.890900000000000067e-02 1.210675260873786685e-01
3.869999999999999829e-02 1.134399999999999992e-01 2.884899999999999964e-02 1.209215233392001432e-01
3.899999999999999994e-02 1.168499999999999955e-01 2.862299999999999914e-02 1.207745489173160103e-01
3.919999999999999873e-02 1.183199999999999946e-01 2.855200000000000099e-02 1.206760279538122149e-01
3.950000000000000039e-02 1.180500000000000022e-01 2.840799999999999922e-02 1.205274422046442306e-01
3.980000000000000204e-02 1.186699999999999977e-01 2.865499999999999992e-02 1.203778945717175475e-01
4.009999999999999676e-02 1.212099999999999983e-01 2.906800000000000009e-02 1.202273887657464568e-01
4.039999999999999841e-02 1.218599999999999961e-01 2.904699999999999990e-02 1.200759285187604913e-01
4.059999999999999720e-02 1.178600000000000064e-01 2.850300000000000056e-02 1.199744266283278848e-01
4.089999999999999886e-02 1.135599999999999943e-01 2.853299999999999934e-02 1.198213839971569161e-01
